competencia_id,deporte,evento,genero_evento
184,Fencing,"Fencing Women's epee, Individual",Femenino
185,Swimming,Swimming Men's 200 metres Freestyle,Masculino
186,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Masculino
187,Swimming,Swimming Men's 200 metres Backstroke,Masculino
188,Swimming,Swimming Men's 200 metres Individual Medley,Masculino
189,Swimming,Swimming Men's 400 metres Individual Medley,Masculino
190,Badminton,Badminton Women's Singles,Femenino
191,Boxing,Boxing Men's Light-Middleweight,Masculino
192,Tennis,Tennis Men's Singles,Masculino
193,Wrestling,"Wrestling Men's Bantamweight, Freestyle",Masculino
194,Wrestling,"Wrestling Men's Flyweight, Freestyle",Masculino
195,Athletics,"Athletics Women's 5,000 metres",Femenino
196,Weightlifting,Weightlifting Women's Light-Heavyweight,Femenino
197,Weightlifting,Weightlifting Women's Heavyweight,Femenino
198,Athletics,Athletics Men's Discus Throw,Masculino
199,Taekwondo,Taekwondo Men's Featherweight,Masculino
200,Taekwondo,Taekwondo Men's Welterweight,Masculino
201,Judo,Judo Men's Heavyweight,Masculino
202,Cycling,Cycling Men's Sprint,Masculino
203,Bobsleigh,Bobsleigh Men's Two,Masculino
204,Wrestling,"Wrestling Men's Lightweight, Freestyle",Masculino
205,Nordic Combined,Nordic Combined Men's Team,Masculino
206,Nordic Combined,Nordic Combined Men's Individual,Masculino
207,Baseball,Baseball Men's Baseball,Masculino
208,Rowing,Rowing Men's Coxed Fours,Masculino
209,Cycling,Cycling Men's 100 kilometres Team Time Trial,Masculino
210,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Femenino
211,Art Competitions,"Art Competitions Mixed Architecture, Designs For Town Planning",Mixto/Open
212,Art Competitions,"Art Competitions Mixed Architecture, Architectural Designs",Mixto/Open
213,Gymnastics,Gymnastics Women's Individual All-Around,Femenino
214,Gymnastics,Gymnastics Women's Team All-Around,Femenino
215,Gymnastics,Gymnastics Women's Floor Exercise,Femenino
216,Gymnastics,Gymnastics Women's Horse Vault,Femenino
217,Gymnastics,Gymnastics Women's Uneven Bars,Femenino
